xintercept	showSelected1	showSelected2
-1.45329199665167	5.55	5
-1.26225275315698	5.55	6
-1.03643272732406	5.55	7
-2.16826527292122	5.6	1
-1.99878287626942	5.6	2
-1.91235290377257	5.6	3
-1.73195827112048	5.6	4
-1.47829199665167	5.6	5
-1.26225275315698	5.6	6
-1.03643272732406	5.6	7
-2.20216042461131	5.63389515169009	1
-2.01573045211446	5.63389515169009	2
-1.76585342281057	5.63389515169009	3
-1.49523957249672	5.63389515169009	4
-1.26225275315698	5.63389515169009	5
-1.03643272732406	5.63389515169009	6
-2.21826527292122	5.65	1
-2.03183530042437	5.65	2
-1.93735290377257	5.65	3
-1.77390584696553	5.65	4
-1.50329199665167	5.65	5
-1.26225275315698	5.65	6
-1.03643272732406	5.65	7
-2.26826527292122	5.7	1
-2.08183530042437	5.7	2
-1.96235290377257	5.7	3
-1.79890584696553	5.7	4
-1.52829199665167	5.7	5
-1.26225275315698	5.7	6
-1.03643272732406	5.7	7
-2.31826527292122	5.75	1
-2.13183530042437	5.75	2
-1.98735290377257	5.75	3
-1.82390584696553	5.75	4
-1.55329199665167	5.75	5
-1.26225275315698	5.75	6
-1.03643272732406	5.75	7
-2.36826527292122	5.8	1
-2.18183530042437	5.8	2
-2.01235290377257	5.8	3
-1.84890584696553	5.8	4
-1.57829199665167	5.8	5
-1.26225275315698	5.8	6
-1.03643272732406	5.8	7
-2.41826527292122	5.85	1
-2.23183530042437	5.85	2
-2.03735290377257	5.85	3
-1.87390584696553	5.85	4
-1.60329199665167	5.85	5
-1.26225275315698	5.85	6
-1.03643272732406	5.85	7
-2.46826527292122	5.9	1
-2.28183530042437	5.9	2
-2.06235290377257	5.9	3
-1.89890584696553	5.9	4
-1.62829199665167	5.9	5
-1.26225275315698	5.9	6
-1.03643272732406	5.9	7
-2.51826527292122	5.95	1
-2.33183530042437	5.95	2
-2.08735290377257	5.95	3
-1.92390584696553	5.95	4
-1.65329199665167	5.95	5
-1.26225275315698	5.95	6
-1.03643272732406	5.95	7
-2.52905453822539	5.96078926530417	1
-2.34262456572854	5.96078926530417	2
-2.09274753642466	5.96078926530417	3
-1.65868662930376	5.96078926530417	4
-1.26225275315698	5.96078926530417	5
-1.03643272732406	5.96078926530417	6
-2.56826527292122	6	1
-2.38183530042437	6	2
-2.13195827112048	6	3
-1.94890584696553	6	4
-1.65868662930376	6	5
-1.26225275315698	6	6
-1.03643272732406	6	7
-2.61826527292122	6.05	1
-2.43183530042437	6.05	2
-2.18195827112048	6.05	3
-1.97390584696553	6.05	4
-1.65868662930376	6.05	5
-1.26225275315698	6.05	6
-1.03643272732406	6.05	7
-2.66826527292122	6.1	1
-2.48183530042437	6.1	2
-2.23195827112048	6.1	3
-1.99890584696553	6.1	4
-1.65868662930376	6.1	5
-1.26225275315698	6.1	6
-1.03643272732406	6.1	7
-2.71826527292122	6.15	1
-2.53183530042437	6.15	2
-2.28195827112048	6.15	3
-2.02390584696553	6.15	4
-1.65868662930376	6.15	5
-1.26225275315698	6.15	6
-1.03643272732406	6.15	7
-2.76826527292122	6.2	1
-2.58183530042437	6.2	2
-2.33195827112048	6.2	3
-2.04890584696553	6.2	4
-1.65868662930376	6.2	5
-1.26225275315698	6.2	6
-1.03643272732406	6.2	7
-2.81826527292122	6.25	1
-2.63183530042437	6.25	2
-2.38195827112048	6.25	3
-2.07390584696553	6.25	4
-1.65868662930376	6.25	5
-1.26225275315698	6.25	6
-1.03643272732406	6.25	7
-2.86826527292122	6.3	1
-2.68183530042437	6.3	2
-2.43195827112048	6.3	3
-2.09890584696553	6.3	4
-1.65868662930376	6.3	5
-1.26225275315698	6.3	6
-1.03643272732406	6.3	7
-2.91826527292122	6.35	1
-2.73183530042437	6.35	2
-2.48195827112048	6.35	3
-2.12390584696553	6.35	4
-1.65868662930376	6.35	5
-1.26225275315698	6.35	6
-1.03643272732406	6.35	7
-2.96826527292122	6.4	1
-2.78183530042437	6.4	2
-2.53195827112048	6.4	3
-2.14890584696553	6.4	4
-1.65868662930376	6.4	5
-1.26225275315698	6.4	6
-1.03643272732406	6.4	7
-3.01826527292122	6.45	1
-2.83183530042437	6.45	2
-2.58195827112048	6.45	3
-2.17390584696553	6.45	4
-1.65868662930376	6.45	5
-1.26225275315698	6.45	6
-1.03643272732406	6.45	7
-3.06826527292122	6.5	1
-2.88183530042437	6.5	2
-2.63195827112048	6.5	3
-2.19890584696553	6.5	4
-1.65868662930376	6.5	5
-1.26225275315698	6.5	6
-1.03643272732406	6.5	7
